平台,经营单位,仓库,结算方式,运输方式,发货状态,物流录入的结算方法,是否拒收入库完成,是否直销单,是否是多客户出货,是否退改赠,是否手机下的订单,是否代垫发货,发货单据来源,单据来源互联互通,WMS系统发货单状态,需要物流流程,是否医疗分销,time
01020AYH-义珍,DA00-湖南义珍供应链,AG6019-长沙车销仓（湘AG6019）,MON,H01,CLO,MON,Y,N,N,N,N,N,EASD,N,NEW,Y,N,2020-01-08 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-07 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-07 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-07 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-04 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-07 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-07 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-07 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-07 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-07 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,WKX0-快消虚拟仓,MON,H01,CLO,MON,Y,Y,N,N,N,N,EASD,N,NEW,Y,N,2020-01-08 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-07 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-07 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-07 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-07 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,CSZBZCC-长沙总部正常仓,MON,A01,CLO,MON,Y,N,Y,N,N,N,EASD,N,CLO,Y,N,2020-01-04 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,CSZBZCC-长沙总部正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,EASD,N,CLO,Y,N,2020-01-06 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,CSZBZCC-长沙总部正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,EASD,N,CLO,Y,N,2020-01-06 00:00:00
01020AYB-长沙育邦,TM00-长沙育邦,YBCSZCC-育邦长沙正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,EAEC,N,NEW,Y,N,2020-01-05 17:43:57
01020ALY-新燎原,ED00-长沙新燎原供应链有限公司,XLYZZPHTZMZG-新燎原株洲平和堂丸美专柜,MON,H01,CLO,MON,Y,N,Y,N,N,N,RETAILIM,N,NEW,Y,N,2020-01-08 00:00:00
01020AYX-郴州永祥,KF00-郴州永祥鑫盛,YXWCCXC-永祥外场促销虚拟仓,MON,H01,CLO,MON,Y,N,N,N,N,N,EASD,N,NEW,Y,N,2020-01-06 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,CSZBZCC-长沙总部正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,HLHT,Y,CLO,Y,N,2020-01-06 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,CSZBZCC-长沙总部正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,HLHT,Y,CLO,Y,N,2020-01-06 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,CSZBZCC-长沙总部正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,EASD,N,CLO,Y,N,2020-01-08 00:00:00
01020AYB-长沙育邦,TM00-长沙育邦,YBCSZCC-育邦长沙正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,EAEC,N,NEW,Y,N,2020-01-09 08:57:50
01020AYB-长沙育邦,TM00-长沙育邦,YBCSZCC-育邦长沙正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,EAEC,N,NEW,Y,N,2020-01-07 17:04:41
01020AYB-长沙育邦,TM00-长沙育邦,YBCSZCC-育邦长沙正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,EAEC,N,NEW,Y,N,2020-01-06 14:49:16
01020AYB-长沙育邦,TM00-长沙育邦,YBCSZCC-育邦长沙正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,EAEC,N,NEW,Y,N,2020-01-06 14:49:39
01020AYB-长沙育邦,TM00-长沙育邦,YBCSZCC-育邦长沙正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,EAEC,N,NEW,Y,N,2020-01-05 15:23:15
01020AYB-长沙育邦,TM00-长沙育邦,YBCSZCC-育邦长沙正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,EAEC,N,NEW,Y,N,2020-01-03 09:32:52
01020AYH-义珍,DA00-湖南义珍供应链,CSZBZCC-长沙总部正常仓,MON,H01,CLO,MON,Y,N,Y,N,Y,N,MOB,N,CLO,Y,N,2020-01-06 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,CSZBZCC-长沙总部正常仓,MON,H01,CLO,MON,Y,N,Y,N,Y,N,MOB,N,CLO,Y,N,2020-01-06 00:00:00
01020AGH-株洲金巢,GH00-株洲金巢,SDZZJCZBZCC-株洲金巢总部正常仓,MON,H01,CLO,MON,Y,N,N,N,N,N,EASD,N,CLO,Y,N,2020-01-03 00:00:00
01020AGH-株洲金巢,GH00-株洲金巢,SDZZJCZBZCC-株洲金巢总部正常仓,MON,H01,CLO,MON,Y,N,N,N,N,N,EASD,N,CLO,Y,N,2020-01-03 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,XARX741-步步高退货仓,WDS,H01,CLO,WDS,Y,N,Y,N,N,N,EASD,N,NEW,Y,N,2020-01-08 00:00:00
01020AGH-株洲金巢,GH00-株洲金巢,SDZZJCZBZCC-株洲金巢总部正常仓,MON,H01,CLO,MON,Y,N,N,N,N,N,EASD,N,CLO,Y,N,2020-01-03 00:00:00
01020AGH-株洲金巢,GH00-株洲金巢,SDZZJCZBZCC-株洲金巢总部正常仓,MON,H01,CLO,MON,Y,N,N,N,N,N,EASD,N,CLO,Y,N,2020-01-03 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,WKX0-快消虚拟仓,WDS,WLJ,CLO,WDS,Y,Y,N,N,N,N,EASD,N,NEW,Y,N,2020-01-09 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,WKX0-快消虚拟仓,MON,H01,CLO,MON,Y,Y,N,N,N,N,EASD,N,NEW,Y,N,2020-01-09 00:00:00
01020AGH-株洲金巢,GH00-株洲金巢,SDZZJCZBZCC-株洲金巢总部正常仓,MON,H01,CLO,MON,Y,N,N,N,N,N,EASD,N,CLO,Y,N,2020-01-06 00:00:00
01020AXH-怀化鑫星火,CP00-怀化鑫星火供应链,HHXXHZBZCC-怀化鑫星火总部正常仓,YDS,H01,CLO,YDS,Y,N,N,N,N,Y,EASD,N,CLO,Y,N,2020-01-08 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,SDXWTGR-鑫梧桐基地WMS正常仓,MON,H01,CLO,MON,Y,N,N,N,N,N,EASD,N,CLO,Y,N,2020-01-07 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTDXW-鑫梧桐代销仓,MON,H01,CLO,MON,N,N,N,N,N,N,EASD,N,NEW,Y,N,2020-01-09 10:16:39
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-07 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-07 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-07 00:00:00
01020AYB-长沙育邦,TM00-长沙育邦,YBQDZCC-育邦祁东正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,EAEC,N,NEW,Y,N,2020-01-08 09:34:49
01020AYX-郴州永祥,KF00-郴州永祥鑫盛,YXXSZBBLPC-永祥鑫盛总部不良品仓,WDS,H01,WBG,WDS,Y,N,N,N,N,N,EASD,N,NEW,Y,N,2020-01-06 00:00:00
01020AYX-郴州永祥,KF00-郴州永祥鑫盛,YXXSZBBLPC-永祥鑫盛总部不良品仓,WDS,H01,CLO,WDS,Y,N,N,N,N,N,EASD,N,NEW,Y,N,2020-01-06 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-07 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-07 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-07 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-07 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-07 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-07 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-07 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-07 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-07 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-04 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-07 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-07 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-04 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-04 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-07 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-06 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBZCW10-鑫梧桐总部正常仓MT10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-06 00:00:00
01020AYX-郴州永祥,KF00-郴州永祥鑫盛,YXWCCXC-永祥外场促销虚拟仓,WDS,H01,WBG,WDS,Y,N,Y,N,N,N,EASD,N,NEW,Y,N,2020-01-08 00:00:00
01020AGH-株洲金巢,GH00-株洲金巢,ZZJCCXC-株洲金巢车销仓虚拟仓,MON,H01,CLO,MON,Y,N,N,N,N,N,EASD,N,NEW,Y,N,2020-01-08 00:00:00
01020ALY-新燎原,ED00-长沙新燎原供应链有限公司,XLYHHPXMC-新燎原CS渠道仓,EAX,H01,WBG,EAX,Y,N,N,N,N,N,EASD,N,CLO,Y,N,2020-01-08 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,HYZCC-衡阳正常仓,WDS,K01,CLO,WDS,Y,N,Y,N,N,N,EASD,N,CLO,Y,N,2020-01-09 00:00:00
01020ALY-新燎原,ED00-长沙新燎原供应链有限公司,XLYHHPXMC-新燎原CS渠道仓,EAX,H01,WBG,EAX,Y,N,N,N,N,N,EASD,N,CLO,Y,N,2020-01-06 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,CSZBZCC-长沙总部正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,EASD,N,CLO,Y,N,2020-01-07 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,CSZBZCC-长沙总部正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,EASD,N,CLO,Y,N,2020-01-07 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,CSZBZCC-长沙总部正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,EASD,N,CLO,Y,N,2020-01-07 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,CSZBZCC-长沙总部正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,EASD,N,CLO,Y,N,2020-01-08 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,CSZBZCC-长沙总部正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,EASD,N,CLO,Y,N,2020-01-07 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,CSZBZCC-长沙总部正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,EASD,N,CLO,Y,N,2020-01-07 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,CSZBZCC-长沙总部正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,EASD,N,CLO,Y,N,2020-01-07 00:00:00
01020AFQ-百富勤,AV00-衡阳怡亚通百富勤供应链,SDHYBFQSCZYW-衡阳百富勤郴州仓,EAX,H01,CLO,EAX,Y,N,N,N,N,Y,EASD,N,CLO,Y,N,2020-01-09 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBDSZCW-鑫梧桐总部正常仓DS11,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-04 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBDSZCW-鑫梧桐总部正常仓DS11,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-07 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTDXW-鑫梧桐代销仓,MON,H01,CLO,MON,Y,N,N,N,N,N,EASD,N,NEW,Y,N,2020-01-07 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,HYZCC-衡阳正常仓,YDS,H01,CLO,YDS,Y,N,Y,N,Y,N,MOB,N,CLO,Y,N,2020-01-09 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,HYZCC-衡阳正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,EASD,N,CLO,Y,N,2020-01-07 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,HYZCC-衡阳正常仓,MON,H01,CLO,MON,Y,N,Y,N,N,N,EASD,N,CLO,Y,N,2020-01-09 00:00:00
01020AFQ-百富勤,AV00-衡阳怡亚通百富勤供应链,SDHYBFQZBZCW-衡阳百富勤总部正常仓,MON,H01,CLO,MON,Y,N,N,N,N,N,EASD,N,CLO,Y,N,2020-01-07 00:00:00
01020AFQ-百富勤,AV00-衡阳怡亚通百富勤供应链,SDHYBFQZBZCW-衡阳百富勤总部正常仓,MON,H01,CLO,MON,Y,N,N,N,N,N,EASD,N,CLO,Y,N,2020-01-07 00:00:00
01020AFQ-百富勤,AV00-衡阳怡亚通百富勤供应链,SDHYBFQZBZCW-衡阳百富勤总部正常仓,MON,H01,CLO,MON,Y,N,N,N,N,N,EASD,N,CLO,Y,N,2020-01-08 00:00:00
01020AFQ-百富勤,AV00-衡阳怡亚通百富勤供应链,SDHYBFQZBZCW-衡阳百富勤总部正常仓,MON,H01,CLO,MON,Y,N,N,N,N,N,EASD,N,CLO,Y,N,2020-01-08 00:00:00
01020AFQ-百富勤,AV00-衡阳怡亚通百富勤供应链,SDHYBFQZBZCW-衡阳百富勤总部正常仓,MON,H01,CLO,MON,Y,N,N,N,N,N,EASD,N,CLO,Y,N,2020-01-08 00:00:00
01020AFQ-百富勤,AV00-衡阳怡亚通百富勤供应链,SDHYBFQZBZCW-衡阳百富勤总部正常仓,MON,A01,CLO,MON,Y,N,N,N,N,N,EASD,N,CLO,Y,N,2020-01-07 00:00:00
01020AFQ-百富勤,AV00-衡阳怡亚通百富勤供应链,SDHYBFQZBZCW-衡阳百富勤总部正常仓,MON,H01,CLO,MON,Y,N,N,N,N,N,EASD,N,CLO,Y,N,2020-01-07 00:00:00
01020AFQ-百富勤,AV00-衡阳怡亚通百富勤供应链,SDHYBFQZBZCW-衡阳百富勤总部正常仓,MON,H01,CLO,MON,Y,N,N,N,N,N,EASD,N,CLO,Y,N,2020-01-08 00:00:00
01020AFQ-百富勤,AV00-衡阳怡亚通百富勤供应链,SDHYBFQZBZCW-衡阳百富勤总部正常仓,MON,H01,CLO,MON,Y,N,N,N,N,N,EASD,N,CLO,Y,N,2020-01-08 00:00:00
01020ALY-新燎原,ED00-长沙新燎原供应链有限公司,XLYZPEHC-新燎原赠品日化仓,EAX,H01,WBG,EAX,Y,N,N,N,N,N,EASD,N,NEW,Y,N,2020-01-08 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBDSZCW10-鑫梧桐总部正常仓DS10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-08 00:00:00
01020AWT-鑫梧桐,W700-湖南鑫梧桐供应链,HNXWTZBDSZCW10-鑫梧桐总部正常仓DS10,MON,H01,CLO,MON,Y,N,Y,N,N,N,OTH,N,NEW,N,N,2020-01-07 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,CSZBZCC-长沙总部正常仓,MON,H01,CLO,MON,Y,N,Y,N,Y,N,MOB,N,CLO,Y,N,2020-01-08 00:00:00
01020AYH-义珍,DA00-湖南义珍供应链,CSZBZCC-长沙总部正常仓,MON,H01,CLO,MON,Y,N,Y,N,Y,N,MOB,N,CLO,Y,N,2020-01-07 00:00:00
